"Timestamp","Where did you hear about this survey?","How many years of experience do you have in network operations?","Are you currently affiliated with an ISP?","Which group of ISPs best fits the ISP you are affiliated with (could be employed by, if you are currently unaffiliated) ?","If you're currently affiliated with an ISP, please rate the importance of network security to your ISP's operations:","Do you see offering secure routing technology as a marketable product?","Would network operators have incentives to offer SBAS as a product to customers? ","How interested would you or your ISP be in offering SBAS as a product to customers? ","Are there any aspects of SBAS that could help effectively promote it to the management at your ISP?","What is your confidence in your answers to incentives questions?","Do you have any other comments regarding incentives?","How useful is the SBAS system for countering the threat of Internet routing attacks? ","What is the feasibility of deploying SBAS in real-world networks? ","What is your confidence in your answers to feasibility and usefulness questions?","Do you have any other comments regarding feasibility and usefulness?","SBAS requires a governance structure to coordinate system operations. What governance structure would best encourage ISP participation? ","What is your confidence in your answer to the governance question?","Do you have any other comments regarding governance?","What do you think of the SBAS system overall? Please provide any other comments below."
"2021/11/19 1:08:43 PM GMT+2","","2-5","Yes","National ISPs (Comcast, Swisscom, etc...)","4","3","3","3","","3","","3","3","3","","Decentralized governance model (e.g., Tor project)","3","",""
"2021/11/21 3:24:57 PM GMT+2","","2-5","Yes","National ISPs (Comcast, Swisscom, etc...)","5","4","3","3","Routing selection with help of SION paths. (for customers who have concerns against certain countries or regions.)","3","","4","4","3","","Handing governance responsibilities over to the Regional Internet Registries (RIRs)","2","",""
"2021/12/03 5:16:35 PM GMT+2","Direct contact","20+","Yes","National ISPs (Comcast, Swisscom, etc...)","4","4","3","4","","2","","4","3","3","","Handing governance responsibilities over to the Regional Internet Registries (RIRs)","4","",""
"2021/12/05 6:31:11 PM GMT+2","Direct contact","20+","Yes","Research and Academic ISPs (Internet2, GÉA​​​N​T, NJEdge, GRNet, etc...)","3","4","2","3","Yes, high-level aspects such as security, swissness, ""green""ness. But on a concrete level, it is unclear whether these improvements are real enough in practice, in particular as long as adoption is low (chicken/egg).","3","","2","2","2","The usefulness question is hard to ponder. It feels a bit like being asked how useful a walk in the park is to counter the risks of traffic accidents. Having multiple ISPs ""share"" a single AS number (per SCION/SBAS ""cloud"") might be by ISPs as having to give up their identity in the routing system.","Federation of network providers/ISPs (e.g., MANRS)","3","","I'm not sure. On the one hand, it is nice to see a proposal for coexistence between the BGP-based Internet and SCION-based networks. On the other hand, the benefits are unclear. I can still be attacked from the traditional Internet, especially if I announce the same prefixes there. If I don't, then it's just another private network. And it will be hard to argue that it is ""greener"" in practice today, especially if VPN links or other detours are used to access the service."
"2021/12/16 11:12:44 AM GMT+2","Direct contact","1 or less","Yes","Large, multi-national ISPs (Level 3, Telia, Cogent, etc...)","5","5","5","5","","5","Ji","5","5","5","Bo","Federation of network providers/ISPs (e.g., MANRS)","5","Hi","Hi"
"2021/12/16 5:32:28 PM GMT+2","RIPE mailing list","20+","Yes","Regional ISPs","5","1","1","1","","4","","1","1","4","","Multi stakeholder organization involving ISPs, enterprises, developers (e.g., Foundation)","3","",""
"2021/12/16 5:39:32 PM GMT+2","NANOG mailing list","6–10","Yes","Regional ISPs","0","1","1","1","Your introduction video does not sufficiently explain what kinds of organizations would be running IBGP with each other, and how each organization maintains sufficient operational control over its own routing policy.  Especially with IBGP being used this way, how can organizations involved in the shared topology maintain their own outbound routing preferences and peering arrangements?","1","","1","1","1","Your introduction of SBAS (via your video and introduction text content) requires more background to establish that you are speaking the same language as ISP and other network operators with established networks and peering arrangements today.  SBAS feels like a purely-acadmic exercise invoking building blocks and terminology that exist in the industry today .... but I as a network operator cannot tell if you are using these terms and building blocks in the same way that we use them today; and whether your solution is referring to organizations and customer relationships with the same levels of trust that exist between those today.  Or more?  or less?","Handing governance responsibilities over to the Regional Internet Registries (RIRs)","5","Does the governance require trust between the parties involved?  If so, the governance may encounter a scaling problem... people would not want to rely on SBAS if they are not involved in governing it and must trust those that are (if it is critical to the reliable operation of their revenue networks); and if everyone wants to participate in the governance to ensure they have a voice at the table, this may have too many voices to get consensus.  As such, it would seem that the way RIRs operate today may be the best fit.","See my previous comments on the introduction video/background.  As an experienced network operator, your marketing-level introduction of the concepts does not make this feel ""real"" enough to understand how this technically operates outside of a lab environment.  More examples are needed about what trust/political relationships  exist between the different types of organizations; who is running what part of the infrastructure in your diagrams, etc.  As much effort should be invested as possible to avoid creating or using non-standard terminology when current terminology accurately describes what is going on (but only if it is exactly the same - don't reuse existing terms for new components or concepts)"
"2021/12/17 12:04:21 PM GMT+2","RIPE mailing list","11–20","Yes","Regional ISPs","4","4","3","3","Not enough product information ","4","","4","4","3","","Multi stakeholder organization involving ISPs, enterprises, developers (e.g., Foundation)","3","",""
"2021/12/17 10:21:25 PM GMT+2","NANOG mailing list","20+","Yes","National ISPs (Comcast, Swisscom, etc...)","5","4","2","2","","3","Offer real world examples on how it would have helped in past attacks.","3","4","3","I don't feel I have enough info to answer.  I should read the paper.","Federation of network providers/ISPs (e.g., MANRS)","3","","I think the video should have more info about SBAS.  How is this network established across multiple ISPs?"
"2021/12/17 10:22:34 PM GMT+2","NANOG mailing list","20+","Yes","Regional ISPs","5","3","2","2","","5","","3","2","5","One of the main usefulness issues would of course be how this could - in a worst case scenario - impact the robustness and reliability of operations currently. Without a deep dive into that, you won't find much interest from the greater community. ","Handing governance responsibilities over to the Regional Internet Registries (RIRs)","4","A decentralized model would be acceptable as well. Any sort of additional organizations/additional federations creates a huge amount of new problems that often work to the advantage of large corporate incumbents and disenfranchise smaller competitors. ","I don't see such a monolithic goal being worth the value it could bring, but part of the main issue here is the failure to describe the SCION system that seems to be critical for it on the part of the folks proposing this in the media attached to this survey. 

There are already other systems that solve these problems effectively once deployed and offer the same ""island"" benefits proposed herein. That is, to replicate this more easily, all you really need to do is offer VPNs to a provider that does strict RPKI ROV at their AS border. There's no need to create a whole new system. "
